node,x,y,z
297,-5.781998080345414,-88.08153798780836,1249.800722273374
298,-8.32188676085405,-93.38263357814662,1246.293531155843
299,-10.4510821323557,-93.37458523802871,1240.639605404413
300,-11.49296538741712,-84.95797124271661,1236.173710988953
301,-12.44708031498623,-84.68986689717325,1236.237779436468
302,-15.71923237691425,-86.66621992464133,1230.428235556742
303,-14.88704419329713,-87.97047647063172,1227.09601596801
304,-13.60643332872119,-86.50729714172913,1223.978907333008
305,-12.6275642557245,-83.13379251690063,1222.902869623613
306,-12.52384547341424,-79.82611737575992,1224.498230672478
307,-13.35603406274795,-78.5218631001023,1227.830449569898
308,-14.63664496359332,-79.98504264170387,1230.947558139463
309,-15.61551362668772,-83.35854497304484,1232.023596547203
310,-15.95888641930475,-87.1792277589881,1230.872985879095
311,-15.00187002690491,-88.67912289016107,1227.040933320719
312,-13.52916752341337,-86.99646660921486,1223.456258406591
313,-12.40346805142018,-83.11693607628202,1222.218815106166
314,-12.28419143779264,-79.31310958539714,1224.053480336313
315,-13.24120833331786,-77.81321726846822,1227.885532037837
316,-14.71391087406946,-79.49587377050501,1231.470206883778
317,-15.83960982698326,-83.3754013989768,1232.707651068591
318,-14.72067966833596,-81.99456961346544,1243.024020419959
